crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
1591696,2013-04-26,2012-06-14,2014-08-15,"webmail.epicgames.com","autodiscover.epicgames.net
autodiscover.waw.epicgames.net
mail-03.epicgames.net
mail-04.epicgames.net
outlook.epicgames.net
um-01.epicgames.net","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287"
4138233,2014-05-14,2014-04-09,2015-07-21,"*.ol.epicgames.net","*.ol.epicgames.net
ol.epicgames.net","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certs.godaddy.com/repository/, CN=Go Daddy Secure Certificate Authority - G2"
4807130,2014-08-17,2014-08-15,2017-08-15,"webmail.epicgames.com","autodiscover.epicgames.net
autodiscover.waw.epicgames.net
mail-02.epicgames.net
mail-03.epicgames.net
mail-04.epicgames.net
mail-06.epicgames.net
outlook.epicgames.net
um-01.epicgames.net
wawmail-01.waw.epicgames.net","C=US, ST=Arizona, L=Scottsdale, O=\"Starfield Technologies, Inc.\", OU=http://certs.starfieldtech.com/repository/, CN=Starfield Secure Certificate Authority - G2"
8884342,2015-08-15,2015-02-11,2018-01-27,"*.ol.epicgames.net","*.fortnite-ci.ol.epicgames.net
*.fortnite-gamedev.ol.epicgames.net
*.fortnite-gdc.ol.epicgames.net
*.fortnite-lt.ol.epicgames.net
*.fortnite-releaseqa.ol.epicgames.net
*.fortnite-stage.ol.epicgames.net
*.ol.epicgames.net
*.unrealengine-ci.ol.epicgames.net
*.unrealengine-gamedev.ol.epicgames.net
*.unrealengine-gdc.ol.epicgames.net
*.unrealengine-lt.ol.epicgames.net
*.unrealengine-releaseqa.ol.epicgames.net
*.unrealengine-stage.ol.epicgames.net
*.unrealtournament-ci.ol.epicgames.net
*.unrealtournament-gamedev.ol.epicgames.net
*.unrealtournament-gdc.ol.epicgames.net
*.unrealtournament-lt.ol.epicgames.net
*.unrealtournament-releaseqa.ol.epicgames.net
*.unrealtournament-stage.ol.epicgames.net","C=US, O=SSL.com, OU=www.ssl.com, CN=SSL.com DV CA"
15348282,2016-03-18,2016-03-07,2017-04-07,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
20734011,2016-06-01,2016-06-01,2016-08-30,"p4-swarm.epicgames.net","p4-swarm.epicgames.net","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
27978936,2016-08-11,2016-08-11,2016-11-09,"p4-swarm.epicgames.net","p4-swarm.epicgames.net","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
28045149,2016-08-11,2016-08-11,2016-11-09,"jira.it.epicgames.net","jira.it.epicgames.net
jira.ol.epicgames.net
jira-stage.it.epicgames.net","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
28050512,2016-08-11,2016-08-11,2016-11-09,"wiki.it.epicgames.net","wiki.it.epicgames.net
wiki.ol.epicgames.net
wiki-stage.it.epicgames.net","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
34687709,2016-09-25,2013-09-11,2016-09-11,"ocs-ae.epicgames.com","lyncdiscover.epicgames.net","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287"
38024890,2016-10-01,2011-08-15,2014-08-15,"webmail.epicgames.com","autodiscover.epicgames.net
autodiscover.waw.epicgames.net
mail-02.epicgames.net
mail-03.epicgames.net
mail-04.epicgames.net
mail-06.epicgames.net
outlook.epicgames.net
um-01.epicgames.net
wawmail-01.waw.epicgames.net","C=US, ST=Arizona, L=Scottsdale, O=\"GoDaddy.com, Inc.\", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287"
47997223,2016-10-24,2016-10-24,2018-10-24,"ec-01.epicgames.net","build.epicgames.net
builds.epicgames.net
ec-01.epicgames.net","C=US, O=GeoTrust Inc., CN=GeoTrust SSL CA - G3"
50524668,2016-11-08,2016-11-08,2017-02-06,"p4-swarm.epicgames.net","p4-swarm.epicgames.net","C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"
51003150,2016-11-10,2016-11-10,2019-11-10,"p4-swarm.epicgames.net","p4-swarm.epicgames.net","C=US, O=\"thawte, Inc.\", OU=Domain Validated SSL, CN=thawte DV SSL CA - G2"
56020221,2016-11-28,2016-11-28,2018-11-28,"unity-01.epicgames.net","unity-01.epicgames.net","C=US, O=\"thawte, Inc.\", OU=Domain Validated SSL, CN=thawte DV SSL CA - G2"
82988059,2017-02-01,2017-02-01,2019-02-01,"ec-01.epicgames.net","build.epicgames.net
builds.epicgames.net
ec-01.epicgames.net","C=US, O=GeoTrust Inc., CN=GeoTrust SSL CA - G3"
97436119,2017-02-27,2017-02-27,2020-02-27,"solarwinds.epicgames.net","ems.epicgames.net
monitor.epicgames.net
monitoring.epicgames.net
orion.epicgames.net
solarwinds.epicgames.net","C=US, O=GeoTrust Inc., CN=GeoTrust SSL CA - G3"
99494363,2017-03-05,2017-03-05,2020-03-04,"rdu-mbam-01.epicgames.net","rdu-mbam-01.epicgames.net","C=US, O=\"thawte, Inc.\", OU=Domain Validated SSL, CN=thawte DV SSL CA - G2"
99787307,2017-03-06,2017-03-06,2020-03-05,"password.epicgames.net","password.epicgames.net","C=US, O=\"thawte, Inc.\", OU=Domain Validated SSL, CN=thawte DV SSL CA - G2"
100129406,2017-03-07,2017-03-07,2020-03-06,"rdu-ems-01.epicgames.net","monitoring.it.epicgames.net
rdu-ems-01.epicgames.net","C=US, O=GeoTrust Inc., CN=GeoTrust SSL CA - G3"
139894979,2017-05-17,2017-05-17,2019-05-17,"rdu-nexpose-01.epicgames.net","rdu-nexpose-01.epicgames.net","C=US, O=\"thawte, Inc.\", OU=Domain Validated SSL, CN=thawte DV SSL CA - G2"
142564159,2017-05-22,2017-05-22,2018-05-22,"releasenotes.epicgames.net","releasenotes.epicgames.net","C=US, O=\"thawte, Inc.\", OU=Domain Validated SSL, CN=thawte DV SSL CA - G2"
166483185,2017-07-03,2015-10-27,2018-01-27,"*.ol.epicgames.net","*.epicgames-ci.ol.epicgames.net
*.epicgames-gamedev.ol.epicgames.net
*.epicgames-stage.ol.epicgames.net
*.fortnite-ci.ol.epicgames.net
*.fortnite-gamedev.ol.epicgames.net
*.fortnite-gdc.ol.epicgames.net
*.fortnite-lt.ol.epicgames.net
*.fortnite-releaseqa.ol.epicgames.net
*.fortnite-stage.ol.epicgames.net
*.launcher-ci.ol.epicgames.net
*.launcher-gamedev.ol.epicgames.net
*.launcher-lt.ol.epicgames.net
*.launcher-releaseqa.ol.epicgames.net
*.launcher-stage.ol.epicgames.net
*.ocean-ci.ol.epicgames.net
*.ocean-gamedev.ol.epicgames.net
*.ocean-stage.ol.epicgames.net
*.ol.epicgames.net
*.orion-ci.ol.epicgames.net
*.orion-gamedev.ol.epicgames.net
*.orion-lt.ol.epicgames.net
*.orion-releaseqa.ol.epicgames.net
*.orion-stage.ol.epicgames.net
*.unrealengine-ci.ol.epicgames.net
*.unrealengine-gamedev.ol.epicgames.net
*.unrealengine-gdc.ol.epicgames.net
*.unrealengine-lt.ol.epicgames.net
*.unrealengine-releaseqa.ol.epicgames.net
*.unrealengine-stage.ol.epicgames.net
*.unrealtournament-ci.ol.epicgames.net
*.unrealtournament-gamedev.ol.epicgames.net
*.unrealtournament-gdc.ol.epicgames.net
*.unrealtournament-lt.ol.epicgames.net
*.unrealtournament-releaseqa.ol.epicgames.net
*.unrealtournament-stage.ol.epicgames.net","C=US, O=SSL.com, OU=www.ssl.com, CN=SSL.com DV CA"
305057433,2018-01-16,2017-04-03,2018-05-03,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
305392847,2018-01-16,2017-07-24,2018-08-24,"*.epicgames-stage.ol.epicgames.net","*.epicgames-stage.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
305411445,2018-01-16,2017-07-19,2018-08-19,"*.epicgames-gamedev.ol.epicgames.net","*.epicgames-gamedev.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
329423031,2018-02-13,2018-02-13,2018-11-28,"unity-01.epicgames.net","unity-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte RSA CA 2018"
329423074,2018-02-13,2018-02-13,2019-11-10,"p4-swarm.epicgames.net","p4-swarm.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte RSA CA 2018"
329556739,2018-02-13,2018-02-13,2019-05-17,"rdu-nexpose-01.epicgames.net","rdu-nexpose-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte RSA CA 2018"
329556748,2018-02-13,2018-02-13,2020-03-05,"password.epicgames.net","password.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte RSA CA 2018"
329556755,2018-02-13,2018-02-13,2020-03-04,"rdu-mbam-01.epicgames.net","rdu-mbam-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte RSA CA 2018"
330366752,2018-02-14,2018-02-14,2020-02-14,"nclvpn.epicgames.com","ncl-fw-01.ncl.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
330366783,2018-02-14,2018-02-14,2018-10-24,"ec-01.epicgames.net","build.epicgames.net
builds.epicgames.net
ec-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
330366790,2018-02-14,2018-02-14,2020-03-06,"rdu-ems-01.epicgames.net","monitoring.it.epicgames.net
rdu-ems-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
